P30615	Pyruvate kinase 1
P30617	LecGNA 2
P30613	Red cell liver pyruvate kinase
Q005N3	Serpin 2
B5DCK2	RANASPUMIN 2
O24902	hypothetical protein HP0062
A6KZ44	SAM dependent methyltransferase
Q8RSY1	Effector protein HopAB2
Q60358	L tyrosine decarboxylase MfnA
Q60352	Isopentenyl phosphate kinase
Q60351	Uncharacterized protein MJ0039
Q60357	Translation initiation factor 6
Q2YPZ4	Acyl CoA dehydrogenase
Q79FU3	PE PGRS FAMILY PROTEIN
P69241	Defensin like protein 1
Q8Y614	Cell cycle protein GpsB
P23919	dTMP kinase
P9WHR3	Carboxylesterase A
P69249	RUBISCO small SUBUNIT
O70709	Fusolin
Q8UVG6	Cellular retinol binding protein
P23913	Lamin B receptor
Q81G39	D alanine activating enzyme
Q9NXR8	Inhibitor of growth protein 3
Q4WHW0	Trehalose 6 phosphate synthase
D6Y4Z8	Cytochrome P450
Q07960	Rho GTPase activating protein 1
A0A088T0J9	CELLOBIOHYDROLASE I
Q6VAB6	Kinase suppressor of Ras 2
P01948	Hemoglobin alpha 1 2 chain
P40422	ABC10 alpha
P40424	Homeobox protein PBX1
P40427	HOMEOTIC protein extradenticle
P01942	Hemoglobin alpha chain
P01946	Hemoglobin alpha 1 2 chain
P01947	Hemoglobin alpha chain
P03898	NADH dehydrogenase subunit 3
Q50859	Putative O methyltransferase
P94842	Hypothetical protein HP_0496
P08842	Steryl sulfate sulfohydrolase
P03891	NADH dehydrogenase subunit 2
P03892	NADH dehydrogenase subunit 2
A0AEF6	Cell wall anchoring protein
P02769	Serum albumin
P02768	Serum albumin
P63411	Acetate kinase
P52478	Ubiquitin protein ligase 1
P05387	60S acidic ribosomal protein P2
P02761	alpha 2u globulin PGCL1
P02760	BIKUNIN
O26773	Hypothetical protein MTH677
P02762	Major urinary protein 6
O26774	Prefoldin subunit beta
P02767	TBPA
P02766	Transthyretin
P01492	Neurotoxin 1
P01493	Neurotoxin 2
P01491	Neurotoxin I
P01496	Toxin V
P01494	Neurotoxin 3
P01495	Beta mammal toxin Cn2
A0A045JW21	30S ribosomal protein S18
C4RSQ3	Hemagglutinin
G7RNP0	Putative Nudix hydrolase ymfB
Q5EBH1	putative ras effector Nore1
P43213	Allergen Phl p I
O77396	PROTEASOME COMPONENT C8 PUTATIVE
Q2FXY6	30S ribosomal protein S20
P43214	allergen Phl p 2
P43215	Pollen allergen Phl p 6
Q2TFW1	STEROL ESTERASE
P38377	SEC61A
P06180	Histone binding protein N1 N2
Q5ZJQ3	Protein lin 52 homolog
Q8I3T9	60S ribosomal protein uL2
P39023	60S ribosomal protein L3
P18670	Jacalin alpha chain
P18671	Jacalin
P18673	Jacalin beta 3 chain
P18674	Agglutinin alpha chain
Q9P218	Collagen alpha 1XX chain
P18676	Agglutinin
Q04432	Heat shock protein 31
A0A0H3JVL5	conserved hypothetical protein
A0A0H3JVL4	Uncharacterized protein MW0776
Q9P212	Phospholipase C epsilon 1
C0H519	Autophagy related protein 3
Q92383	3MEA DNA glycosylase 1
Q9WXT2	Acetylxylan esterase
Q6RUA7	SPOROZOITE SPECIFIC SAG PROTEIN
Q9H3M9	Putative ataxin 3 like protein
P04383	p38
P04382	Dihydrofolate reductase
P04385	Galactokinase
P04386	Regulatory protein GAL4
O38732	protease
O38731	Protease
O57890	UPF0100 protein PH0151
G7CAR0	Membrane ATPase protein kinase
E0DH37	MdbA protein
P01236	Prolactin
Q9GL30	Phospholipase B like 1
Q8I3T5	putative splicing factor
P01239	Prolactin
P04032	Low potential cytochrome c
P04036	DIHYDRODIPICOLINATE reductase
P04035	HMG COA reductase
P08079	Gamma gliadin
P53704	Hexosephosphate aminotransferase
P04038	Cytochrome c oxidase subunit 6C
P46489	NADP Malate dehydrogenase
P00723	Lactase
P00722	Lactase
P00720	Lysozyme
P00727	Leucyl aminopeptidase
P00724	Invertase 2
Q14562	DEAH box protein 8
P00729	Carboxypeptidase Y
Q14566	p105MCM
O08912	Polypeptide GalNAc transferase 1
Q9NRH2	SNF1 related kinase
P0A112	Naphthalene 12 dioxygenase
P0A110	Naphthalene 12 dioxygenase
P0A115	Carboxymethylenebutenolidase
P0A114	Carboxymethylenebutenolidase
Q5I7L0	60S ribosomal protein L18
E7FH77	Zebrafish RNase5
C4M7X2	Lysine tRNA ligase
E7FH76	Zebrafish RNase1
A0QXM5	F420 H2 Dependent Reductase A
Q92520	Protein FAM3C
P96559	Glycosyltransferase GtfB
P96558	Glycosyltransferase GtfA
Q8RVT0	Thaumatin 1
Q9WDA7	Envelope glycoprotein
Q8YFC9	Pantothenate synthetase
Q9E6F8	SIGMA A
Q9EQZ5	15 oxoprostaglandin 13 reductase
Q9WPU2	Protein Nef
Q5ZZD5	uncharacterized protein
Q02874	Core histone macro H2A.1
Q72HW2	LACCASE LIKE PROTEIN
Q02878	Neoplasm related protein C140
P45687	Xylose isomerase
Q96HA7	Tonsoku like protein
M9PB30	DUMPY
Q96HA1	Pore membrane protein of 121 kDa
Q8EXM2	Heme oxygenase
B3A0S5	Endo 14 beta xylanase
Q7CRW4	malate dehydrogenase
Q96HA8	Uncharacterized protein C8orf32
Q9Y5S2	DMPK like beta
Q05471	Helicase SWR1
Q05470	Polyketide synthase PksL
P51784	Ubiquitin thioesterase 11
P11206	Matrix protein
P11207	Nonstructural protein V
P11204	Pol polyprotein
Q9SSV1	RNase NGR3
P11208	Phosphoprotein
P11209	Fusion glycoprotein F0
D0PY27	Polyprotein
P19079	Cytidine aminohydrolase
P08690	Arsenite translocating ATPase
Q17034	TRANSCRIPTION FACTOR GAMBIF1
B4RLY3	Oxidoreductase
O27021	hypothetical protein MTH938
Q7P1H6	Uncharacterized protein
Q46AP6	Putative uncharacterized protein
Q15768	Ephrin B3
O24592	Protein VIVIPAROUS14
Q65CJ7	Hydroxyphenylpyruvate reductase
G1TS40	40S ribosomal protein S24
Q7DD77	PILP PILOT PROTEIN
Q8WUF5	RelA associated Inhibitor
Q57193	CHOLERA enterotoxin B SUBUNIT
Q96BT7	hypothetical protein LOC91801
Q02297	HEREGULIN ALPHA
Q02294	Brain calcium channel III
Q02293	FPT beta subunit
P14585	Abnormal cell lineage protein 12
O59611	hypothetical protein PH1948
A0A1C9J6A7	#NAME?
Q96RU3	Formin binding protein 1
